yang	- 35,955,302-
kabar	- 223,392-
sana	- 223,311-
juni	- 220,825-
gunung	- 220,411-
pulang	- 217,245-
pintu	- 215,884-
larang	- 213,257-
oktober	- 211,315-
bayi	- 208,808-
september	- 208,559-
api	- 208,290-
kadang	- 208,177-
bola	- 206,889-
ayah	- 206,401-
november	- 205,996-
udara	- 204,880-
sungai	- 202,665-
april	- 201,736-
maret	- 201,333-
juli	- 198,002-
panggil	- 197,804-
betul	- 197,318-
taman	- 196,671-
agustus	- 196,605-
pantai	- 196,008-
video	- 194,636-
mei	- 194,340-
hujan	- 193,842-
sabtu	- 192,555-
tonton	- 192,216-
kartu	- 191,017-
pohon	- 189,706-
sepeda	- 189,578-
lambat	- 188,125-
bahaya	- 187,274-
sederhana	- 180,674-
umur	- 180,215-
hitam	- 178,166-
februari	- 176,284-
ratus	- 167,941-
bintang	- 167,687-
siang	- 166,890-
tujuh	- 166,768-
kayu	- 166,308-
daging	- 157,995-
putri	- 157,872-
cantik	- 155,356-
putra	- 153,678-
bahagia	- 152,147-
agak	- 152,053-
lari	- 151,888-
maaf	- 149,718-
hijau	- 148,728-
rambut	- 146,773-
dingin	- 143,186-
sapi	- 143,069-
kereta	- 142,825-
libur	- 142,502-
susu	- 141,455-
kanan	- 133,351-
mas	- 132,533-
sampah	- 130,038-
burung	- 126,487-
sore	- 125,638-
delapan	- 124,746-
matahari	- 124,210-
mahal	- 124,097-
kiri	- 123,756-
pendek	- 114,922-
jembatan	- 114,357-
gula	- 113,434-
ayam	- 112,603-
gigi	- 112,098-
marah	- 112,024-
kuning	- 111,159-
bus	- 110,569-
kursi	- 108,576-
sibuk	- 107,392-
lampu	- 106,028-
mulut	- 105,319-
angin	- 103,433-
senyum	- 102,855-
aneh	- 102,433-
cahaya	- 100,725-
enak	- 99,759-
kopi	- 97,173-
telur	- 96,395-
mimpi	- 95,995-
baju	- 92,963-
meja	- 92,732-
peta	- 92,677-
gelap	- 92,015-
manis	- 91,869-
tangis	- 90,795-
belas	- 90,196-
sedih	- 89,107-
gadis	- 88,432-
kakak	- 88,408-
radio	- 88,070-
liter	- 87,408-
adik	- 87,116-
kertas	- 86,960-
kotor	- 86,572-
jumpa	- 86,329-
sembilan	- 86,295-
restoran	- 85,057-
kaca	- 84,835-
hangat	- 83,621-
detik	- 83,182-
langit	- 81,030-
cermin	- 80,773-
situ	- 80,273-
salam	- 79,571-
kotak	- 79,352-
cuaca	- 76,130-
tawa	- 75,172-
biru	- 74,836-
bunyi	- 74,814-
sepatu	- 74,678-
tas	- 71,166-
sayur	- 69,575-
besok	- 69,268-
dapur	- 68,736-
lelah	- 67,347-
binatang	- 67,146-
jari	- 62,293-
teh	- 61,590-
es	- 56,147-
sopir	- 55,567-
tenis	- 55,182-
celana	- 51,777-
botol	- 50,273-
mi	- 48,807-
anjing	- 47,829-
nenek	- 46,467-
garam	- 46,348-
bodoh	- 45,719-
jendela	- 45,515-
lucu	- 44,987-
nasi	- 44,793-
kue	- 43,136-
yah	- 42,591-
lapar	- 41,343-
jeruk	- 39,931-
telinga	- 39,135-
gelas	- 38,504-
gugur	- 37,367-
hobi	- 36,276-
kucing	- 34,656-
apel	- 34,350-
kakek	- 33,989-
cucu	- 32,618-
pisang	- 32,592-
awan	- 32,527-
gitar	- 31,482-
roti	- 30,675-
semi	- 29,902-
hidung	- 29,414-
sarap	- 29,280-
golf	- 28,512-
taksi	- 23,891-
tangkis	- 23,522-
toilet	- 22,079-
nol	- 22,000-
piring	- 19,936-
jus	- 19,308-
pedas	- 18,932-
dompet	- 18,544-
drum	- 17,624-
haus	- 16,208-
sendok	- 15,779-
sikat	- 14,651-
topi	- 14,298-
asin	- 13,420-
pena	- 12,322-
cangkir	- 11,889-
rok	- 11,270-
permisi	- 11,169-
piano	- 10,305-
kaus	- 9,446-
nyonya	- 9,078-
pensil	- 8,038-
wortel	- 7,831-
sup	- 7,481-
halo	- 7,264-
nona	- 4,833-
biola	- 4,163-
garpu	- 2,686-
usaha	- 2,695,942-
hasil	- 2,369,615-
perintah	- 2,224,812-
serta	- 2,114,934-
tingkat	- 1,953,542-
ikut	- 1,665,834-
pilih	- 1,658,285-
maka	- 1,637,792-
negara	- 1,601,614-
daerah	- 1,527,111-
jumlah	- 1,513,675-
alam	- 1,505,872-
produk	- 1,420,746-
langsung	- 1,333,847-
sendiri	- 1,289,105-
mampu	- 1,222,387-
tambah	- 1,213,911-
nasion	- 1,188,851-
informasi	- 1,140,053-
yaitu	- 1,136,494-
hubung	- 1,112,246-
bentuk	- 1,110,411-
butuh	- 1,102,442-
kemudi	- 1,097,517-
memang	- 1,094,236-
kitar	- 1,077,334-
terus	- 1,067,215-
seluruh	- 1,031,482-
tengah	- 1,005,086-
sementara	- 995,959-
manusia	- 966,643-
capai	- 957,886-
kena	- 939,380-
makin	- 907,837-
tim	- 898,070-
data	- 892,259-
allah	- 891,695-
beda	- 886,606-
negeri	- 868,560-
ubah	- 858,616-
layan	- 850,812-
islam	- 840,670-
pimpin	- 834,705-
tugas	- 828,157-
arti	- 818,989-
kondisi	- 813,253-
sedia	- 805,460-
juta	- 801,796-
anggota	- 785,903-
ilmu	- 780,802-
rencana	- 777,177-
khusus	- 772,218-
presiden	- 772,136-
masa	- 770,191-
sempat	- 763,946-
coba	- 761,335-
putus	- 746,455-
daya	- 740,613-
meski	- 734,722-
agama	- 733,260-
tanah	- 721,789-
latih	- 693,891-
jawab	- 691,962-
acara	- 688,391-
sosial	- 683,358-
ingat	- 678,232-
pusat	- 677,098-
politik	- 676,184-
manfaat	- 673,105-
desa	- 648,998-
luas	- 641,478-
soal	- 633,679-
lokasi	- 630,504-
gerak	- 628,654-
aman	- 625,349-
wilayah	- 623,952-
isi	- 622,854-
bahan	- 616,505-
banding	- 603,709-
wakil	- 601,597-
kini	- 599,630-
per	- 596,378-
kelompok	- 578,625-
tampil	- 578,119-
kunjung	- 577,376-
biaya	- 573,827-
alat	- 545,623-
tubuh	- 540,203-
bisnis	- 539,887-
teknologi	- 529,605-
miliar	- 511,994-
daftar	- 506,832-
pasang	- 502,529-
obat	- 494,343-
menang	- 491,552-
tanam	- 484,689-
ganti	- 480,102-
posisi	- 473,697-
uji	- 465,204-
peran	- 461,441-
lahir	- 457,720-
percaya	- 456,744-
suara	- 454,576-
muncul	- 452,965-
gambar	- 452,031-
pandang	- 449,494-
anggap	- 449,062-
misal	- 448,206-
jaga	- 444,338-
yakin	- 422,492-
ukur	- 420,120-
tuhan	- 417,991-
hilang	- 417,831-
terang	- 415,572-
kendara	- 413,920-
tampak	- 395,531-
universitas	- 392,572-
lawan	- 388,040-
untung	- 384,177-
segala	- 379,567-
macam	- 377,261-
unit	- 375,290-
lepas	- 375,162-
rusak	- 373,002-
tekan	- 370,824-
balik	- 365,898-
metode	- 355,603-
ucap	- 354,345-
alas	- 352,828-
tanding	- 352,702-
rendah	- 343,715-
bakar	- 342,287-
target	- 340,538-
contoh	- 330,814-
darah	- 330,544-
sungguh	- 330,351-
total	- 324,809-
rawat	- 322,697-
sukses	- 320,693-
pesan	- 320,167-
walau	- 319,688-
kalah	- 318,554-
muslim	- 317,803-
lapang	- 316,939-
pribadi	- 312,581-
sisi	- 308,921-
mesin	- 307,986-
letak	- 307,787-
tolak	- 304,441-
awas	- 304,075-
energi	- 303,358-
resmi	- 302,347-
gabung	- 300,066-
triliun	- 297,744-
hitung	- 294,681-
model	- 294,509-
listrik	- 293,168-
raja	- 288,406-
angka	- 285,231-
kulit	- 277,161-
komputer	- 277,032-
amat	- 272,340-
internet	- 271,844-
jatuh	- 270,774-
nikah	- 270,506-
tentara	- 268,931-
timbang	- 265,745-
publik	- 264,200-
tadi	- 259,400-
saling	- 258,788-
sambil	- 256,214-
jiwa	- 253,750-
asing	- 251,837-
situs	- 249,215-
erti	- 248,363-
saing	- 247,749-
nyaman	- 246,200-
pekan	- 242,194-
gol	- 239,427-
gagal	- 239,122-
semangat	- 238,034-
lokal	- 237,926-
perang	- 237,575-
demi	- 234,209-
habis	- 232,851-
serikat	- 231,718-
banjir	- 230,265-
kan	- 228,156-
tiket	- 226,038-
putar	- 223,916-
biar	- 223,410-
bandar	- 222,710-
salat	- 219,498-
emas	- 218,770-
lantai	- 218,202-
bilang	- 215,583-
sisa	- 215,024-
sempurna	- 214,978-
halaman	- 214,421-
rancang	- 214,110-
pindah	- 211,850-
lupa	- 210,808-
puas	- 210,395-
salur	- 209,697-
kristus	- 207,056-
lomba	- 206,861-
zaman	- 206,401-
gas	- 205,017-
wajah	- 204,611-
khawatir	- 203,412-
belah	- 203,087-
doa	- 202,862-
gratis	- 197,213-
kecuali	- 196,628-
titik	- 196,617-
sahabat	- 193,276-
jarak	- 192,101-
klub	- 191,849-
tumpang	- 191,744-
kalo	- 189,381-
pos	- 188,745-
pabrik	- 185,659-
masjid	- 183,792-
sepak	- 183,723-
kebun	- 181,871-
pasien	- 180,930-
supaya	- 179,986-
level	- 178,462-
pustaka	- 178,119-
judul	- 175,982-
cuma	- 175,666-
tes	- 175,342-
samping	- 173,862-
area	- 172,844-
potong	- 172,199-
luka	- 172,000-
jadwal	- 171,981-
belanja	- 170,616-
tangga	- 170,030-
pecah	- 169,641-
peduli	- 169,144-
sempit	- 168,690-
ton	- 167,738-
berangkat	- 163,947-
berani	- 163,570-
tamu	- 159,095-
ikat	- 157,800-
gereja	- 157,644-
kampung	- 155,532-
lebar	- 151,068-
malu	- 150,342-
diam	- 148,142-
ringan	- 147,973-
puasa	- 147,663-
rokok	- 146,649-
kering	- 142,391-
stasiun	- 141,159-
layar	- 140,379-
tenang	- 139,710-
benda	- 138,017-
bangga	- 137,406-
kitab	- 136,975-
hewan	- 136,348-
qur'an	- 134,063-
otak	- 133,493-
nyanyi	- 131,000-
alamat	- 130,322-
jarang	- 129,231-
labuh	- 129,075-
celaka	- 128,986-
garis	- 127,818-
tuan	- 126,862-
kisah	- 126,133-
jantung	- 125,472-
tari	- 124,560-
hadiah	- 121,924-
daun	- 121,449-
ramadan	- 119,755-
gempa	- 117,581-
rute	- 116,038-
web	- 115,668-
ekor	- 113,454-
abad	- 112,392-
jujur	- 110,893-
segar	- 106,953-
masak	- 106,213-
parkir	- 105,203-
kejut	- 104,926-
murid	- 103,270-
hebat	- 99,715-
kelapa	- 99,553-
tulang	- 99,406-
kalimat	- 98,487-
kamera	- 97,074-
emosi	- 96,667-
rahasia	- 94,820-
kecewa	- 94,673-
asam	- 93,978-
tenggara	- 93,417-
juru	- 92,235-
menu	- 91,224-
paruh	- 89,826-
suhu	- 89,088-
kawan	- 88,549-
sudut	- 88,527-
sinar	- 88,457-
batang	- 88,443-
kosong	- 88,126-
macet	- 87,071-
banget	- 86,691-
gembira	- 86,091-
cuci	- 85,173-
majalah	- 84,598-
volume	- 84,304-
blok	- 83,943-
lebaran	- 83,613-
tetangga	- 83,276-
lembar	- 82,353-
album	- 82,294-
perut	- 81,190-
ban	- 80,790-
populasi	- 80,363-
batal	- 80,182-
lubang	- 79,158-
natal	- 79,045-
pesta	- 78,230-
terminal	- 77,914-
dinding	- 77,550-
bau	- 76,763-
roda	- 76,418-
anggur	- 76,271-
surga	- 75,895-
lukis	- 75,346-
kolam	- 75,221-
artis	- 75,033-
tipis	- 74,730-
dada	- 74,728-
anti	- 74,716-
derajat	- 72,982-
warung	- 72,973-
teks	- 70,276-
besi	- 69,591-
pasir	- 68,897-
metro	- 68,636-
museum	- 68,333-
cokelat	- 68,192-
haram	- 68,072-
truk	- 67,906-
bukit	- 67,773-
halal	- 67,510-
gali	- 66,737-
renang	- 66,735-
otot	- 66,611-
asisten	- 65,287-
kantong	- 65,141-
pacar	- 64,362-
aktor	- 64,302-
sapa	- 64,141-
lempar	- 63,468-
bibir	- 62,804-
cerah	- 62,243-
bentar	- 61,610-
basah	- 61,241-
tebal	- 60,643-
begini	- 60,386-
bulu	- 58,394-
karet	- 58,305-
buddha	- 57,774-
klinik	- 57,746-
tukang	- 57,428-
papan	- 57,278-
koran	- 56,994-
kuda	- 56,528-
benci	- 54,932-
danau	- 54,876-
goreng	- 54,617-
cium	- 53,148-
drama	- 52,971-
konser	- 52,732-
bawang	- 51,983-
punggung	- 50,415-
atap	- 50,115-
tali	- 50,052-
bendera	- 49,766-
mama	- 48,868-
label	- 48,582-
ratu	- 48,341-
nyala	- 48,146-
lidah	- 48,144-
kaget	- 47,901-
katolik	- 47,843-
logam	- 46,964-
sepi	- 46,943-
rumput	- 46,484-
tombol	- 46,044-
robot	- 45,410-
asap	- 45,150-
gerbang	- 44,255-
perak	- 44,234-
bosan	- 43,641-
garasi	- 43,147-
influenza	- 43,131-
idul	- 42,948-
perahu	- 42,814-
gajah	- 42,145-
pangeran	- 41,831-
butir	- 41,426-
fitri	- 40,664-
hindu	- 40,159-
sains	- 40,067-
paru	- 39,630-
kacang	- 39,504-
madu	- 39,368-
rumit	- 38,888-
leher	- 37,862-
neraka	- 37,655-
babi	- 37,592-
demam	- 36,537-
mbak	- 35,767-
bahu	- 35,419-
menara	- 34,848-
cabai	- 34,468-
teluk	- 34,045-
tikus	- 33,972-
bak	- 33,349-
bumbu	- 33,191-
handphone	- 32,997-
diet	- 32,970-
beku	- 31,420-
mal	- 31,010-
kompas	- 30,950-
badai	- 30,242-
kafe	- 29,859-
pilot	- 29,718-
lutut	- 28,586-
ular	- 28,303-
teater	- 26,885-
lompat	- 26,710-
lengan	- 26,277-
lemari	- 26,225-
hai	- 25,999-
pinggang	- 25,950-
kacamata	- 25,541-
pisau	- 25,472-
paman	- 24,964-
sapu	- 24,745-
kalender	- 24,675-
gigit	- 24,620-
krim	- 23,775-
payung	- 23,628-
papa	- 23,166-
nyamuk	- 23,122-
boneka	- 22,900-
mabuk	- 22,576-
pahit	- 21,882-
sabun	- 21,428-
bioskop	- 21,424-
paspor	- 20,815-
mangga	- 19,538-
bebek	- 19,521-
kamus	- 19,445-
kuku	- 19,353-
tante	- 19,228-
kaleng	- 18,806-
jaket	- 18,792-
ungu	- 18,244-
gelang	- 17,992-
bantal	- 17,909-
salon	- 17,878-
semut	- 17,613-
batuk	- 17,550-
lobi	- 17,544-
pipi	- 17,417-
harimau	- 17,353-
belok	- 17,214-
permen	- 16,972-
lilin	- 16,323-
sedap	- 16,106-
durian	- 15,538-
kentang	- 15,294-
sate	- 15,149-
sisir	- 15,093-
tomat	- 15,058-
salju	- 14,786-
sofa	- 14,745-
petir	- 14,572-
kompor	- 14,419-
sandal	- 14,246-
kelinci	- 13,949-
capek	- 13,656-
pelangi	- 13,504-
lebah	- 13,192-
sop	- 12,992-
singa	- 12,629-
keju	- 12,610-
tenggorok	- 12,228-
tampan	- 12,070-
karpet	- 12,050-
kulkas	- 11,810-
kilo	- 11,691-
monyet	- 11,605-
kemeja	- 11,593-
saus	- 11,483-
pasta	- 10,494-
pinggul	- 10,444-
keponakan	- 10,383-
handuk	- 10,347-
furnitur	- 10,309-
lift	- 10,183-
gurun	- 10,108-
lalat	- 10,074-
amplop	- 10,009-
pepaya	- 9,616-
sambal	- 9,523-
gunting	- 9,269-
pupu	- 8,948-
sabuk	- 8,899-
tirai	- 8,506-
ambulans	- 8,429-
kupu-kupu	- 8,397-
alis	- 8,190-
dahi	- 8,184-
kecap	- 8,143-
lada	- 8,074-
mangkuk	- 8,004-
beruang; ruang	- 7,876-
bir	- 7,845-
bibi	- 7,322-
oven	- 6,873-
oranye	- 6,224-
jijik	- 5,973-
koki	- 5,844-
mentega	- 5,390-
laba-laba	- 5,219-
kancing	- 5,033-
yoghurt	- 4,817-
pilek	- 4,777-
cuka	- 4,531-
jual; beli	- 4,248-
lusa	- 3,799-
selai	- 3,612-
sampo	- 2,923-
merica	- 2,492-
selada	- 2,123-
mayones	- 664-
masyarakat	- 1,983,726-
kembang	- 1,492,720-
didik	- 1,374,729-
tuju	- 1,346,238-
nilai	- 1,332,173-
lanjut	- 1,267,858-
sebab	- 1,153,117-
teliti	- 1,122,054-
program	- 1,071,763-
laksana	- 1,056,626-
hukum	- 1,012,221-
giat	- 994,157-
sero	- 958,636-
sistem	- 941,694-
siap	- 909,150-
suai	- 882,079-
ekonomi	- 874,806-
kait	- 841,347-
demikian	- 778,953-
tunjuk	- 754,903-
menteri	- 735,981-
kabupaten	- 716,377-
persen	- 703,285-
kasus	- 688,614-
hadir	- 669,993-
bidang	- 664,097-
komuni	- 662,667-
aktivitas	- 662,397-
lingkung	- 650,762-
lapor	- 637,948-
tumbuh	- 620,131-
karya	- 611,503-
kualitas	- 592,930-
sumber	- 586,595-
korban	- 586,008-
tani	- 564,281-
lembaga	- 562,768-
hak	- 552,473-
partai	- 550,791-
anggar	- 547,545-
gelar	- 533,202-
bangsa	- 532,618-
industri	- 528,137-
upaya	- 527,504-
pengaruh	- 523,587-
budaya	- 520,229-
jabat	- 518,819-
enggak	- 515,759-
lengkap	- 495,815-
media	- 494,641-
yakni	- 488,527-
konsumsi	- 482,058-
tawar	- 478,668-
aksi	- 474,816-
camat	- 474,205-
tanda	- 465,374-
teknik	- 461,346-
wisata	- 445,659-
provinsi	- 439,171-
organisasi	- 433,214-
sadar	- 417,251-
sifat	- 411,910-
mini	- 399,446-
gawai	- 395,253-
jamin	- 378,590-
raya	- 374,355-
padahal	- 369,606-
proyek	- 365,015-
angkat	- 363,135-
maksud	- 360,581-
jaring	- 356,753-
kandung	- 349,541-
apalagi	- 346,431-
bahas	- 343,091-
kredit	- 340,604-
pajak	- 340,185-
libat	- 339,507-
apabila	- 331,987-
kumpul	- 331,608-
direktur	- 331,466-
gubernur	- 329,482-
maju	- 329,070-
republik	- 327,368-
duga	- 327,240-
serah	- 321,431-
janji	- 319,156-
iklan	- 318,339-
justru	- 308,502-
bupati	- 298,641-
sejarah	- 297,817-
beliau	- 297,804-
seni	- 287,672-
ganggu	- 286,061-
nikmat	- 285,661-
dampak	- 284,872-
studi	- 283,361-
juara	- 276,077-
sambut	- 274,995-
ahli	- 273,142-
hendak	- 271,865-
juang	- 271,780-
mantan	- 271,513-
kadar	- 271,251-
gantung	- 262,257-
akses	- 261,296-
sekretaris	- 256,569-
desain	- 254,139-
global	- 252,981-
positif	- 251,409-
derita	- 250,233-
lulus	- 247,065-
paksa	- 245,408-
cetak	- 242,717-
tradisi	- 242,579-
simpan	- 242,270-
lintas	- 241,897-
luang	- 240,753-
pegang	- 240,579-
sebar	- 238,750-
pakat	- 231,928-
bunuh	- 231,638-
kuliah	- 231,315-
aju	- 228,866-
ajak	- 228,312-
karakter	- 224,957-
tokoh	- 223,770-
poin	- 217,831-
layak	- 217,399-
jalur	- 216,876-
wali	- 211,995-
malah	- 211,865-
hindar	- 207,836-
segi	- 204,727-
usai	- 204,710-
pisah	- 198,905-
pola	- 197,646-
kategori	- 195,416-
cocok	- 194,430-
gaya	- 192,104-
bangkit	- 191,223-
makna	- 185,488-
warta	- 185,396-
modern	- 184,279-
liput	- 182,749-
yesus	- 182,612-
impor	- 182,345-
kompetisi	- 180,144-
seks	- 180,058-
kampus	- 180,010-
ekspor	- 177,451-
final	- 176,102-
imbang	- 175,641-
dokumen	- 175,380-
militer	- 173,164-
peristiwa	- 172,297-
tantang	- 170,041-
senjata	- 167,989-
situasi	- 166,589-
khas	- 166,209-
akun	- 166,201-
objek	- 165,230-
jangka	- 164,168-
asli	- 163,993-
klik	- 163,852-
individu	- 161,725-
bekas	- 161,515-
normal	- 161,349-
serius	- 160,980-
diskusi	- 160,003-
tipe	- 159,789-
jahat	- 159,552-
sewa	- 159,262-
alih	- 157,528-
utang	- 155,764-
tema	- 155,602-
suku	- 153,780-
paket	- 152,909-
jenderal	- 152,866-
kau	- 152,150-
